order_id,customer_id,order_date,total,status
1,422,2024-02-10 03:54:40,180.57,completed
2,207,2024-01-19 01:27:16,50.73,completed
3,86,2024-10-25 10:09:44,183.6,completed
4,381,2023-12-02 14:41:54,102.81,returned
5,500,2025-06-04 22:54:28,408.14,completed
6,460,2025-08-25 18:16:52,201.69,completed
7,228,2025-01-05 16:38:49,29.8,completed
8,3,2024-12-10 09:35:40,274.4,completed
9,30,2025-03-15 09:38:22,150.01,completed
10,8,2025-02-13 15:25:42,254.39,completed
11,109,2024-06-27 06:31:43,95.0,completed
12,387,2025-11-04 20:23:43,130.95,shipped
13,309,2025-04-11 23:53:10,116.08,completed
14,107,2024-12-13 22:44:52,57.15,completed
15,277,2023-12-08 22:06:54,160.22,completed
16,459,2025-08-09 11:31:55,19.13,returned
17,260,2025-08-13 09:17:32,62.38,shipped
18,126,2025-09-06 12:08:39,6.07,shipped
19,106,2024-01-09 01:08:28,60.68,completed
20,206,2025-01-12 18:35:16,233.21,shipped
21,163,2025-11-05 01:28:21,212.51,completed
22,101,2024-09-20 02:49:00,112.77,shipped
23,499,2025-10-09 17:18:15,19.58,completed
24,14,2024-06-04 04:18:15,360.25,shipped
25,319,2024-07-08 09:59:03,144.95,shipped
26,343,2025-01-03 19:56:51,257.08,completed
27,430,2024-03-01 13:52:45,80.34,completed
28,403,2024-03-19 00:51:22,313.53,completed
29,382,2025-06-25 19:54:42,13.32,completed
30,113,2024-02-16 14:22:36,181.73,shipped
31,352,2024-10-30 17:34:02,45.08,completed
32,106,2025-09-28 20:34:53,464.12,completed
33,300,2025-10-01 09:25:38,129.22,completed
34,277,2024-08-17 18:09:21,148.27,completed
35,461,2024-12-24 14:40:15,147.1,shipped
36,13,2024-12-17 18:36:33,283.97,shipped
37,388,2025-06-09 23:52:07,105.74,completed
38,413,2025-11-04 07:19:34,107.74,shipped
39,151,2024-05-14 06:53:27,226.02,completed
40,363,2025-01-31 18:43:54,180.0,shipped
41,308,2024-10-22 05:40:22,284.19,completed
42,225,2024-12-12 21:13:05,53.25,completed
43,88,2024-08-31 13:00:38,78.14,completed
44,1,2024-10-20 03:36:24,621.03,completed
45,333,2025-11-08 12:04:36,192.1,shipped
46,324,2023-11-24 03:53:48,4.81,completed
47,90,2025-01-06 22:26:05,182.99,completed
48,467,2024-03-28 05:55:07,143.43,shipped
49,242,2024-01-02 03:19:41,537.09,shipped
50,493,2025-08-06 19:14:45,106.35,completed
51,402,2023-12-05 03:50:17,145.23,completed
52,29,2024-06-03 18:19:48,147.38,shipped
53,73,2025-01-07 16:59:13,237.75,completed
54,108,2023-12-21 13:43:06,200.25,completed
55,471,2024-10-05 11:39:11,203.15,completed
56,373,2024-11-17 14:37:19,197.52,shipped
57,335,2024-07-20 21:48:46,252.29,completed
58,3,2024-11-16 19:22:37,127.28,completed
59,385,2025-04-15 22:54:50,329.76,completed
60,217,2024-01-26 23:31:36,13.1,completed
61,27,2025-08-19 23:02:13,77.74,completed
62,180,2025-08-30 15:57:06,2.4,completed
63,237,2024-04-02 21:09:37,104.96,shipped
64,18,2025-08-30 07:07:06,218.51,shipped
65,372,2024-04-09 22:30:19,542.85,returned
66,321,2024-09-05 13:15:32,222.21,completed
67,320,2025-01-25 19:57:59,13.53,completed
68,286,2024-01-20 07:47:18,20.34,completed
69,302,2024-07-04 21:00:33,19.16,shipped
70,320,2025-02-19 21:10:27,78.35,completed
71,154,2024-09-23 09:37:47,404.39,completed
72,360,2024-01-25 06:38:22,260.61,completed
73,145,2025-07-01 02:14:31,52.95,cancelled
74,91,2025-04-01 11:35:15,60.68,completed
75,444,2025-04-17 01:00:23,92.83,completed
76,423,2024-01-19 11:21:59,56.11,completed
77,79,2025-11-09 18:40:49,75.39,shipped
78,356,2024-03-16 19:04:10,352.15,completed
79,366,2024-12-16 00:43:16,39.1,shipped
80,490,2025-10-07 06:08:36,26.33,completed
81,368,2024-12-07 07:40:41,213.33,cancelled
82,452,2025-04-21 23:30:15,75.27,completed
83,373,2025-08-10 21:31:14,42.13,shipped
84,362,2025-02-15 19:17:55,26.73,completed
85,102,2024-06-12 05:48:31,71.1,completed
86,251,2025-07-21 22:49:55,121.0,shipped
87,32,2024-03-22 15:13:25,102.95,completed
88,261,2025-02-23 03:51:55,73.36,shipped
89,444,2025-04-18 22:16:43,32.45,completed
90,42,2024-10-09 03:01:26,197.28,completed
91,346,2025-01-22 22:14:39,103.99,completed
92,179,2025-10-17 05:09:24,165.32,cancelled
93,104,2024-12-11 04:55:44,254.82,completed
94,420,2024-03-11 01:14:10,31.34,completed
